RecID,InstAbbr,InstName,InstPlace,InstLand,NumberEntry,NameArchiveSet,ArchivePart,Specification,LogbookIdent,LogbookLanguage,EnteredBy,DASnumber,ImageNumber,VoyageFrom,VoyageTo,ShipName,ShipType,Company,OtherShipInformation,Nationality,Name1,Rank1,Name2,Rank2,Name3,Rank3,ZeroMeridian,StartDay,TimeGen,ObsGen,ReferenceCourse,ReferenceWindDirection,DistUnits,DistToLandmarkUnits,DistTravelledUnits,LongitudeUnits,VoyageIni,UnitsOfMeasurement,Calendar,Year,Month,Day,DayOfTheWeek,PartDay,TimeOB,Watch,Glasses,UTC,CMG,ShipSpeed,Distance,drLatDeg,drLatMin,drLatSec,drLatHem,drLongDeg,drLongMin,drLongSec,drLongHem,LatDeg,LatMin,LatSec,LatHem,LongDeg,LongMin,LongSec,LongHem,Lat3,Lon3,LatInd,LonInd,PosCoastal,EncName,EncNat,EncRem,Anchored,AnchorPlace,LMname1,LMdirection1,LMdistance1,LMname2,LMdirection2,LMdistance2,LMname3,LMdirection3,LMdistance3,EstError,ApplError,WindDirection,AllWindDirections,WindForce,WindForceScale,AllWindForces,WindScale,Weather,ShapeClouds,DirClouds,Clearness,PrecipitationDescriptor,CloudFrac,Gusts,Rain,Fog,Snow,Thunder,Hail,SeaIce,Duplicate,Release,SSTReading,SSTReadingUnits,StateSea,CurrentDir,CurrentSpeed,TairReading,AirThermReadingUnits,ProbTair,BaroReading,AirPressureReadingUnits,BarometerType,BarTempReading,BarTempReadingUnits,HumReading,HumidityUnits,HumidityMethod,PumpWater,WaterAtThePumpUnits,LifeOnBoard,LifeOnBoardMemo,Cargo,CargoMemo,ShipAndRig,ShipAndRigMemo,Biology,BiologyMemo,WarsAndFights,WarsAndFightsMemo,Illustrations,TrivialCorrection,OtherRem
13240,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,20,Friday,,12,,NA,1769012012,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,,,NA,,,NA,,,NA,,,,,moderate gales,NA,moderate gales,,,,,cloudy,frequent showers of rain,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
13241,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,24,Tuesday,,12,,NA,1769012412,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,,,NA,,,NA,,,NA,,,,,fresh gales,NA,"fore and middle moderate gales, latter fresh gales",,,,,cloudy,"sowers of rain, then flying showers",NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
13242,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Madeira,Rio de Janeiro,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17680919,standard,2,1768,11,13,Sunday,,12,,NA,1768111315,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,1,,,,1,Rio de Janeiro,Rio De Janeiro,,NA,,,NA,,,NA,,,,,,NA,,,,,,,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14882,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,10,Tuesday,,12,,NA,1769011016,S18W,NA,38,52,54,0,S,63,10,0,W,NA,NA,NA,,NA,NA,NA,,-52.9,-63.1667,1,1,0,,,,0,,,,NA,,,NA,,,NA,,,SW,WSW. SW,moderate breezes,NA,moderate breezes,,,,,fine clear weather,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14883,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,11,Wednesday,,12,,NA,1769011116,S30W,NA,100,54,20,0,S,64,35,0,W,NA,NA,NA,,NA,NA,NA,,-54.3333,-64.5833,1,1,0,,,,0,,,,NA,,,NA,,,NA,,,W,W,steady gentle breeze,NA,steady gentle breeze,,,,,clear,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,w,small,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14884,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,12,Thursday,,12,,NA,1769011212,,NA,NA,54,34,0,S,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,-54.5667,NA,1,6,0,,,,0,,,,NA,,,NA,,,NA,,,WSW,N. NNE. variable. WSW,fresh breezes,NA,"first part moderate breezes, remiander sometimes fresh breezes, sometimes calm",,,,,"first part cloudy, remainder hazy",rain,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14885,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,13,Friday,,12,,NA,1769011312,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,Cape St Diego,N,2,,,NA,,,NA,,,SW,NEbE. WSW. SW,little wind,NA,little wind,,,,,cloudy,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14886,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,14,Saturday,,12,,NA,1769011412,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,Cape St Diego,SbE,5,,,NA,,,NA,,,SWbS,SSW. SWbS,fresh breeze,NA,"first part strong gales, with heavy squalls, remainder more moderate but unsettled sometimes a fresh breeze and squally, sometimes little wind",,,,,,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14887,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,15,Sunday,,12,,NA,1769011512,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,Port Maurice,,NA,,,NA,,,NA,,,SE,S. SE,moderate breezes,NA,moderate breezes,,,,,cloudy,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
14888,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Rio de Janeiro,Tierra del Fuego,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17681208,standard,2,1769,1,16,Monday,,12,,NA,1769011612,,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,6,6,0,,,,0,,Bay of Success,,NA,,,NA,,,NA,,,SW,S. SW,fresh breeze,NA,fresh breeze,,,,,,frequent showers of snow and rain,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
